what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1437067279908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437067284008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067312158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067319122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067319344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067323307
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1437067324428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437067338348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067340563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067341904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067370810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067390672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067390830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067392525
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437067403705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437067411910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067414868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067420490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067431105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067851516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067860993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437067863686
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437067863803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437067894324
