what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060092493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060096206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060100030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060123433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060127280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060128163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060132546
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060133499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060136264
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060137243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060150135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060171058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060175807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060179660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060187412
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060194281
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1437060194407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060253591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060279514
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060311066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060324490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060345267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060368904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060411431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060418181
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060419934
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060430093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060441455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060443636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060449414
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060451559
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060453941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060457826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060486385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060505269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060521764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060527891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060529604
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060532036
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060537354
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060545163
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060546156
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060560857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060562069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060577210
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060577919
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060587785
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060600584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060604340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060607209
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060608444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060617366
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060618033
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060630379
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060644948
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060649490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060656293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060657407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060659508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060664157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060667752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060670291
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060676483
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060680798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060695997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060696997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060699515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060706948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060708928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060711994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060722589
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060723808
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060725598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060733851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060735545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060739955
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060756276
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060772293
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060774691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060778657
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1437060817103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437060819291
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060820465
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060827473
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060827963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060830528
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060847881
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437060851243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060857712
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437060878086
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1437060891343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437060893486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1437060908088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437060909534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060912665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1437060929259
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1437060930349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1437060935591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060951080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060959734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060962767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437060999908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061001056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061015103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061015215
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061022797
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437061026844
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437061036363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061039188
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061072827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061097959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061103386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061129473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061965264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061968957
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061976293
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061977057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061986945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061990702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061992829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437061993731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062321445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062331383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062424558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062429254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062444749
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062455702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062485917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062496663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062643213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062654596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062841589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062842783
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062918220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437062919271
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063208402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063209839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063222654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063366690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063380028
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1437063416118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063421015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063484999
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437063485031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063491445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063582907
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437063586369
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1437063598660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063601631
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063617052
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437063617074
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1437063619588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063630477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063640901
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437063640927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063641024
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063645055
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1437063646798
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1437063648448
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437063662900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063665838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1437063690076
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1437063692406
